source_id,ra,dec,phot_g_mean_mag,parallax,bp_rp,designation,j_m,h_m,ks_m,ph_qual,ang_sep
604917526275831040,132.82987263744636,11.798511415909555,13.535529,1.1693028487856258,0.76366234,08511918+1147546,12.566,12.247,12.182,AAA,0.004996570704173931
604917594995372544,132.8211975772199,11.804479120262537,9.921911,1.1620566566117003,1.4008808,08511710+1148160,8.14,7.526,7.385,AAA,0.005823751341764426
604917560635575808,132.81430795998233,11.792065766969978,12.5451765,1.066185533544451,0.6628523,08511544+1147313,11.708,11.475,11.43,AAA,0.013133706524417432
604917491916095872,132.82781372722755,11.784075469924868,12.357132,1.2085704522467644,0.9978361,08511868+1147026,11.017,10.619,10.529,AAA,0.016160973937783152
604917560635577472,132.81145056489564,11.789993233352321,12.681729,1.1505415402558807,0.735446,08511476+1147238,11.747,11.495,11.43,AAA,0.016614801265764544
604917487620349184,132.8222290853847,11.783505206210943,12.937614,1.1946952151594008,0.728776,08511734+1147005,12.017,11.749,11.723,AAA,0.016716325854566096
604917285757663872,132.83289299566326,11.783437016563388,12.022738,1.1179582584779246,0.615633,08511990+1147003,11.205,11.021,10.99,AAA,0.018276491160842977
604917629355042176,132.84496547830224,11.800481666248837,10.169919,1.1576240674580507,1.236659,08512280+1148016,8.56,8.075,7.942,AAA,0.019549473070416153
604920648716270848,132.82720496614647,11.822630402974745,12.492557,1.1465633762064429,0.78215504,08511854+1149214,11.506,11.229,11.145,AAA,0.022733088502411097
604917281461920256,132.8337997855924,11.778252739493274,12.624251,1.1699554087559814,0.729064,08512012+1146416,11.691,11.44,11.388,AAA,0.023391177153601266
604920653012018688,132.83005654526977,11.823428603806073,13.71689,1.1673580229650813,0.754776,08511922+1149243,12.748,12.468,12.427,AAA,0.023945704961226746
604917629355038848,132.8454253721632,11.813720717979884,12.549206,1.1644076200402365,0.7349367,08512291+1148493,11.612,11.36,11.313,AAA,0.024248450737509506
604920515573076352,132.80089214443902,11.809643484926914,13.754309,1.170970523788535,0.75571823,08511223+1148347,12.788,12.52,12.469,AAA,0.02549237918168854
604917629355038720,132.850311092646,11.806077942155428,12.679014,1.1559613347905093,0.7448349,08512408+1148218,11.73,11.48,11.427,AAA,0.02551054718090542
604920549932808320,132.81265751758596,11.822526102605199,13.987426,1.136264899751253,0.7807102,08511505+1149211,13.012,12.692,12.642,AAA,0.02556129210833071
604917320117398528,132.84913659265166,11.78778762734426,12.632659,1.5846321187428503,0.9622717,08512380+1147160,11.409,11.008,10.953,AAA,0.02659660697372098
604917285757662592,132.8418298007512,11.778044916604935,13.048145,1.1692371122511642,0.7472763,08512205+1146409,12.117,11.869,11.782,AAA,0.027448948811475915
604917732434325248,132.8456268130823,11.820309197285223,13.152652,1.1856353394322168,0.6270447,08512296+1149131,12.365,12.155,12.076,AAA,0.02863749855206398
604920584292552832,132.79845931610862,11.814040886829336,13.630787,1.158334969025947,0.7623348,08511164+1148505,12.686,12.371,12.331,AAA,0.029530703661791904
604917629355037568,132.8552415064304,11.803761895867133,13.985338,1.1659984855010577,0.8990402,08512526+1148135,12.839,12.518,12.38,AAA,0.02984029776614521
604917285757665920,132.8356724961179,11.771211754506856,12.782083,1.1729727079209071,0.60569096,08512057+1146163,12.004,11.833,11.791,AAA,0.03062537290112264
604917423196609280,132.8556647740653,11.792844689726236,12.390759,1.0055823609241108,0.7672701,08512536+1147342,11.406,11.154,11.07,AAA,0.0308581769684432
